CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Route,,Approved for Construction,Carryover Project,2017 Project,,"{""type"":""LineString"",""coordinates"":[[382200.9882,4903440.4291],[382275.2834,4903535.0443]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373561.8305,4902700.6386],[373628.4774,4902700.0975]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373628.4774,4902700.0975],[373832.1702,4902699.3697]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[373832.1702,4902699.3697],[373866.2676,4902698.8885],[373897.6091,4902701.5751],[373924.7038,4902708.073],[374015.8618,4902745.4321]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374015.8103,4902745.4543],[374043.5697,4902757.0957],[374076.7019,4902768.737],[374106.4945,4902772.149],[374180.9034,4902771.2942]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374180.9034,4902771.2942],[374361.345,4902769.9956]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380760.5482,4898469.7222],[380757.2769,4898384.5024]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380766.6145,4898887.6316],[380753.9842,4898963.8931]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380768.1711,4898647.2718],[380787.7231,4898745.8214]]}"
Route,,Approved for Construction,Joint Reconstruction,2018 Project,,"{""type"":""LineString"",""coordinates"":[[380775.6841,4898832.8814],[380766.6145,4898887.6316]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382580.2338,4899058.0667],[382724.8718,4899113.1838],[382759.8683,4899130.1118]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382759.8683,4899130.1118],[382935.3214,4899224.4185]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[382935.5021,4899224.9522],[383132.7918,4899330.8797]]}"
Route,,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[383132.7918,4899330.8797],[383368.9464,4899457.171],[383416.4423,4899480.6429],[383478.1323,4899508.4814],[383541.388,4899528.8522]]}"
Route,,Exists,,,,"{""type"":""LineString"",""coordinates"":[[382580.2338,4899058.0667],[382486.7864,4899033.0783],[382445.1145,4899022.3627],[382416.5394,4899016.4095],[382381.2175,4899010.4563]]}"
Route,,Exists,,,,"{""type"":""LineString"",""coordinates"":[[383541.388,4899528.8522],[383573.8541,4899538.1443],[383612.2188,4899545.4204],[383659.8439,4899550.712],[383722.0211,4899552.6964]]}"
