POI_ID,POI_NAME,ADDRESS,POI_TYPE_C,POI_TYPE_D,DESCRIP,GeoJSON
1863,GREENWOOD TRAIL,1139 HWY 15,38,Trail,Trail,"{""type"":""Point"",""coordinates"":[384085.9793,4902619.1268]}"
470,J. MACHEN TURF SPORTS FIELD,750 INNOVATION DR,32,Soccer Field,Artificial Turf Soccer Field,"{""type"":""Point"",""coordinates"":[385471.8044,4903216.7205]}"
427,,151 ORDNANCE ST,3,Basketball Court,Basketball Court,"{""type"":""Point"",""coordinates"":[381165.8905,4899097.7732]}"
428,,1805 2 HWY,3,Basketball Court,Basketball Court,"{""type"":""Point"",""coordinates"":[390246.2375,4902188.2962]}"
434,,360 KINGSTON MILLS RD,3,Basketball Court,Basketball Court,"{""type"":""Point"",""coordinates"":[386576.5856,4906265.3814]}"
437,,64 DRENNAN ST,3,Basketball Court,Basketball Court,"{""type"":""Point"",""coordinates"":[381506.1453,4901896.5995]}"
740,GANANOQUE AIRPORT,,52,Airport,Airport,"{""type"":""Point"",""coordinates"":[400875.9369,4917207.1994]}"
742,WOLFE ISLAND FERRY DOCK (WINTER),,55,Ferry Dock,Ferry Dock,"{""type"":""Point"",""coordinates"":[386119.0757,4896758.8406]}"
744,HOWE ISLAND FERRY DOCK,,55,Ferry Dock,Ferry Dock,"{""type"":""Point"",""coordinates"":[394162.5199,4903114.7135]}"
747,KATINGS FIELDS,412 RIDEAU ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[381408.168,4900029.7235]}"
748,POLSON PARK,153 ROBERT WALLACE DR,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[377908.7222,4899185.3343]}"
749,LAKESHORE SWIMMING POOL,792 HENDERSON BLVD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[373974.96,4898502.9396]}"
750,WOODBINE PARK,1180 WOODBINE RD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[371914.4786,4902041.0551]}"
753,BELLE PARK FAIRWAYS,731 MONTREAL ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[382027.9912,4900806.9614]}"
755,CHURCHILL PARK,685 BROCK ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[379601.5234,4898886.1758]}"
756,PIERSON PARK,1648 JOYCEVILLE RD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[393896.0728,4906364.6022]}"
757,J. MACHEN SPORTS FIELDS,750 INNOVATION DR,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[385484.2212,4903152.0103]}"
758,SHANNON PARK A&B,199 WILSON ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[381450.2614,4902197.103]}"
760,CITY PARK,33 BAGOT ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[381080.293,4898073.7021]}"
761,KINGSTON MEMORIAL CENTRE,303 YORK ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[380287.0915,4899570.0698]}"
765,JIM BEATTIE PARK,900 HENDERSON BLVD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[373607.0219,4898437.9921]}"
766,PORTSMOUTH OLYMPIC HARBOUR,53 YONGE ST,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[378991.8796,4897397.4703]}"
767,ROTARY PARK,1280 COVERDALE DR,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[371736.2934,4899529.7169]}"
768,JOHN BREWER PARK,3513 BREWER'S MILLS RD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[397988.1265,4918317.2628]}"
771,GRASS CREEK PARK,2991 2 HWY,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[395168.0051,4905474.7013]}"
772,GRASS CREEK PARK,2991 2 HWY,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[395401.7227,4905164.0452]}"
774,WOODBINE PARK,1180 WOODBINE RD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[372018.8983,4902003.3328]}"
487,J. MACHEN SPORTS FIELDS,750 INNOVATION DR,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[385389.316,4903188.7535]}"
1662,MACGILLIVRAY-BROWN HALL,218 BARRIE ST,27,Queen's University,Queen's University,"{""type"":""Point"",""coordinates"":[380905.3598,4898416.7445]}"
2392,ELIZABETH COTTAGE HOME,251 BROCK ST,18,Long Term Care,Long Term Care,"{""type"":""Point"",""coordinates"":[381087.7432,4898706.9419]}"
1703,FLEMING HALL - STEWART-POLLOCK WING,78 FIFTH FIELD COMPANY LANE,27,Queen's University,Queen's University,"{""type"":""Point"",""coordinates"":[380649.1092,4898141.7849]}"
1720,GOODWIN HALL,25 UNION ST,27,Queen's University,Queen's University,"{""type"":""Point"",""coordinates"":[380821.1935,4898288.1164]}"
1499,METAL CRAFT MARINE,349 WELLINGTON ST,19,Marina,Marina,"{""type"":""Point"",""coordinates"":[381806.4492,4899237.7059]}"
3747,BEACHGROVE,752 KING ST W,67,Government Centre,Hospital,"{""type"":""Point"",""coordinates"":[378501.5038,4897273.8303]}"
3522,QUEEN'S COMMUNITY HOUSING,169 UNIVERSITY AV,27,Queen's University,Queen's University,"{""type"":""Point"",""coordinates"":[380574.9902,4898403.8446]}"
490,JOYCEVILLE PUBLIC SCHOOL SOCCER FIELD 2,2903 JOYCEVILLE RD,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[393669.4785,4912560.7455]}"
491,SHANNON PARK A&B,199 WILSON ST,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[381446.0781,4902292.2693]}"
492,BAYRIDGE PARK SOCCER FIELD 2,755 BAYRIDGE DR,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[372848.1402,4900594.613]}"
38,THE LANDINGS GOLF COURSE,1025 LEN BIRCHALL WAY,13,Golf Course,Golf Course,"{""type"":""Point"",""coordinates"":[372841.5734,4897593.062]}"
494,R G SINCLAIR PUBLIC SCHOOL SOCCER FIELD,19 CRERAR BLVD,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[374590.9192,4897065.5791]}"
763,MEADOWCREST COMMUNITY CENTRE,360 KINGSTON MILLS RD,50,Washroom,Washroom,"{""type"":""Point"",""coordinates"":[386545.1498,4906271.034]}"
496,GLENBURNIE PUBLIC SCHOOL,2252 BATTERSEA RD,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[383512.6578,4908462.197]}"
497,NEWCOURT FIELDS,,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[377914.0624,4898318.5296]}"
1108,MEADOWCREST PARK,360 KINGSTON MILLS RD,22,Park,Park,"{""type"":""Point"",""coordinates"":[386551.6379,4906282.3064]}"
502,ROYAL MILITARY COLLEGE OF CANADA,9 DE LA MERITE DR,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[382999.8599,4899006.6577]}"
151,RIVERSIDE CENTRAL,31 FAIRCREST BLVD,25,Playground,Playground,"{""type"":""Point"",""coordinates"":[387388.5981,4900309.0178]}"
504,LAFLEUR PARK,,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[378347.759,4899558.3639]}"
505,FRONTENAC SECONDARY SCHOOL,1789 BATH RD,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[374107.3602,4899315.9275]}"
506,ROYAL MILITARY COLLEGE OF CANADA,9 DE LA MERITE DR,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[382926.9806,4898860.3823]}"
507,LORD STRATHCONA PUBLIC SCHOOL,251 MCMAHON AVE,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[378484.4605,4900865.018]}"
511,LA SALLE HS FOOTBALL FIELD 1,773 HWY 15,32,Soccer Field,Soccer Field,"{""type"":""Point"",""coordinates"":[383752.282,4901024.0268]}"
