SW_ID,TYPE_C,TYPE_D,MATERIAL_C,MATERIAL_D,GeoJSON
2163,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376835.2581,4901728.2317],[376831.2583,4901728.3319],[376826.9683,4901728.922],[376822.6583,4901730.5222],[376820.0584,4901732.0323],[376817.5584,4901733.8334],[376814.4584,4901736.5336],[376814.2584,4901736.9336],[376812.1685,4901739.2237],[376810.5586,4901741.5338],[376801.9587,4901754.5342],[376801.3488,4901756.6344],[376801.3488,4901759.5344],[376810.7585,4901744.1338],[376813.5585,4901740.1336],[376815.9584,4901737.4335],[376819.3584,4901734.4333],[376822.7584,4901732.2332],[376824.5584,4901731.3321],[376827.1583,4901730.532],[376829.6583,4901730.0319],[376833.4583,4901729.7318],[376837.4581,4901729.7317],[376856.6581,4901730.6322],[376877.6579,4901731.3316],[376879.1579,4901731.5315],[376880.3579,4901732.0315],[376882.1579,4901733.4315],[376882.8579,4901734.5315],[376883.2579,4901735.7315],[376883.8579,4901739.5316],[376895.858,4901754.0326],[376902.358,4901761.6326],[376907.4581,4901768.1326],[376907.558,4901765.4325],[376907.2581,4901764.9325],[376902.158,4901758.5325],[376892.658,4901747.4325],[376885.3579,4901738.5315],[376885.3579,4901737.4315],[376884.6579,4901734.1315],[376883.9579,4901732.8314],[376883.0578,4901731.7315],[376881.4578,4901730.6314],[376880.0578,4901730.1415],[376878.5479,4901729.8416],[376835.2581,4901728.2317]]]}"
2217,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378405.2881,4901656.5816],[378401.5881,4901656.5816],[378398.5881,4901657.1817],[378395.6882,4901658.6808],[378394.2883,4901659.8808],[378392.0884,4901662.4809],[378390.5875,4901665.5809],[378389.8876,4901668.782],[378390.3888,4901691.9823],[378391.6887,4901691.5823],[378391.3881,4901676.3821],[378391.3878,4901671.6821],[378391.5876,4901668.182],[378392.6885,4901664.7819],[378393.8884,4901662.6819],[378395.8883,4901660.4817],[378398.3882,4901658.9817],[378401.1881,4901658.1817],[378404.1882,4901658.0816],[378471.3892,4901659.8831],[378466.8888,4901674.6833],[378464.6892,4901683.2834],[378463.5895,4901688.6835],[378462.6207,4901694.9606],[378460.2898,4901713.8749],[378459.6897,4901725.3751],[378459.1895,4901745.9754],[378417.9895,4901746.1844],[378382.5886,4901746.0841],[378383.389,4901719.1728],[378383.389,4901718.8828],[378383.089,4901718.8828],[378381.889,4901718.9828],[378381.2887,4901746.0841],[378304.8878,4901746.3828],[378249.3862,4901746.3805],[378282.3872,4901704.981],[378281.8872,4901704.581],[378281.4873,4901703.8811],[378280.2871,4901705.58],[378277.2869,4901696.4799],[378276.9868,4901695.18],[378276.9868,4901693.9799],[378277.2868,4901692.6799],[378278.8866,4901689.1798],[378281.2865,4901685.8797],[378283.6863,4901683.1797],[378284.5863,4901681.6796],[378284.9872,4901679.5796],[378285.2862,4901660.2791],[378287.6847,4901571.5754],[378287.0846,4901570.8755],[378286.4846,4901570.5754],[378283.5861,4901679.3795],[378282.7863,4901681.8796],[378281.3863,4901683.8797],[378279.5864,4901685.8798],[378277.3865,4901689.3798],[378275.7867,4901693.0799],[378275.5868,4901694.68],[378276.1869,4901697.68],[378279.1871,4901706.68],[378260.0866,4901730.4803],[378247.5861,4901746.3795],[378198.3845,4901746.2771],[378199.1838,4901700.2758],[378201.183,4901642.5737],[378202.7875,4901569.8204],[378202.3124,4901570.0614],[378201.4827,4901576.3715],[378200.9627,4901595.2718],[378200.493,4901602.172],[378199.8632,4901625.5735],[378199.3336,4901634.7737],[378198.1045,4901694.5757],[378197.714,4901703.4759],[378196.8645,4901739.5771],[378196.8845,4901743.9871],[378196.3844,4901744.5771],[378196.1845,4901747.7771],[378459.0895,4901747.4854],[378459.2894,4901753.5856],[378460.3895,4901752.5855],[378460.8895,4901751.8855],[378460.4895,4901747.4855],[378463.0894,4901747.5853],[378463.5894,4901746.0854],[378460.5895,4901746.0854],[378461.2898,4901718.085],[378461.5898,4901713.5848],[378462.7898,4901703.2837],[378464.7895,4901690.0835],[378466.4891,4901681.3834],[378468.7887,4901672.8832],[378473.0892,4901659.083],[378472.1891,4901658.0831],[378470.7892,4901657.993],[378405.2881,4901656.5816]]]}"
2220,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[379536.9154,4901693.5586],[379536.3054,4901693.6785],[379535.8654,4901694.0785],[379535.8384,4901694.8586],[379540.3355,4901695.0188],[379540.0755,4901700.9489],[379541.4955,4901701.1491],[379540.3053,4901736.9894],[379539.3033,4901736.8494],[379539.6354,4901742.5095],[379539.8154,4901742.7895],[379541.1653,4901743.1996],[379541.5053,4901742.8396],[379541.8754,4901736.9894],[379541.4653,4901736.9494],[379541.7154,4901733.0192],[379580.9158,4901734.5607],[379580.7558,4901738.4978],[379582.4657,4901738.5708],[379582.7958,4901734.7407],[379616.3421,4901735.8119],[379615.0871,4901734.1618],[379615.3112,4901728.4406],[379612.1661,4901728.3414],[379611.966,4901734.5117],[379603.206,4901733.9114],[379541.8054,4901730.7091],[379543.3055,4901700.4091],[379569.2057,4901701.709],[379569.4058,4901699.1089],[379581.1059,4901699.7093],[379581.0059,4901702.1095],[379604.8061,4901703.4103],[379604.7961,4901703.6824],[379615.6062,4901704.0707],[379615.7363,4901697.9505],[379620.8553,4901698.0506],[379620.8363,4901697.2406],[379620.0463,4901696.6506],[379614.1562,4901696.5104],[379613.9363,4901702.1006],[379583.936,4901700.7095],[379584.1859,4901695.3293],[379581.1659,4901695.1992],[379577.9358,4901698.0392],[379570.9358,4901697.8089],[379567.2257,4901694.7997],[379563.8357,4901694.9196],[379563.6457,4901700.5988],[379541.5655,4901699.6489],[379541.8455,4901693.6088],[379536.9154,4901693.5586]]]}"
2228,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[378545.8615,4901724.6761],[378547.9505,4901723.886],[378563.3885,4901715.3875],[378562.9135,4901714.2646],[378547.6605,4901722.4661],[378545.8875,4901722.6761],[378545.8615,4901724.6761]]]}"
2230,3,Paved,6,PAVEMENT,"{""type"":""Polygon"",""coordinates"":[[[376885.3077,4901723.3963],[376885.5575,4901711.6313],[376883.9375,4901711.5733],[376883.8175,4901712.9814],[376877.8475,4901712.8416],[376877.8075,4901711.4316],[376876.3574,4901711.3316],[376876.1574,4901711.1316],[376875.8575,4901711.4316],[376877.7035,4901713.7116],[376884.3675,4901713.8314],[376884.0477,4901723.3594],[376885.3077,4901723.3963]]]}"
1643,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376760.7074,4902145.2674],[376760.6775,4902146.6874],[376761.2575,4902147.0574],[376761.7375,4902147.9085],[376765.2785,4902157.2586],[376766.7585,4902157.0486],[376765.0385,4902153.1484],[376763.0575,4902147.8185],[376761.9974,4902146.0074],[376761.3254,4902145.2754],[376760.7074,4902145.2674]]]}"
1755,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376723.7051,4902000.2695],[376722.0557,4902048.1525],[376722.4457,4902049.2324],[376724.5756,4902051.1425],[376725.0156,4902052.1025],[376725.1857,4902059.8336],[376725.4857,4902061.0037],[376725.9258,4902061.6137],[376726.5758,4902062.0036],[376727.3558,4902062.1336],[376737.2457,4902062.3334],[376738.0157,4902062.3834],[376738.9957,4902062.8233],[376739.2156,4902063.3133],[376739.2657,4902064.5134],[376739.2258,4902069.3535],[376739.9358,4902069.3535],[376739.9358,4902069.0934],[376741.4258,4902070.2134],[376741.0969,4902079.4846],[376744.0868,4902079.5235],[376744.1057,4902072.3234],[376746.7657,4902072.5044],[376746.8657,4902070.6633],[376743.9857,4902070.3534],[376739.9657,4902065.9534],[376739.9156,4902063.1533],[376739.5657,4902062.3433],[376738.9857,4902061.9634],[376738.1557,4902061.6833],[376737.2857,4902061.6234],[376728.5557,4902061.5036],[376726.8157,4902061.3237],[376726.4057,4902061.0737],[376726.1457,4902060.7036],[376725.8957,4902059.7436],[376725.7056,4902051.9525],[376725.4356,4902051.1224],[376725.0957,4902050.6525],[376723.8857,4902049.6625],[376722.8957,4902048.5825],[376722.7256,4902047.3624],[376724.4141,4902000.2975],[376723.7051,4902000.2695]]]}"
1756,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[376684.9663,4902074.245],[376652.3665,4902074.3449],[376652.3666,4902076.9449],[376683.9662,4902076.745],[376705.9661,4902079.0645],[376704.7761,4902078.2446],[376702.1862,4902077.5246],[376701.3262,4902076.5946],[376701.0661,4902074.8646],[376700.8661,4902075.1645],[376699.6662,4902075.6546],[376697.1662,4902075.6547],[376684.9663,4902074.245]]]}"
1765,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[381119.1501,4902041.7996],[381120.2501,4902043.5196],[381174.0521,4902047.919],[381224.6541,4902052.4175],[381225.3541,4902051.4175],[381160.9528,4902045.6994],[381119.1501,4902041.7996]]]}"
1864,1,Concrete,1,CONCRETE,"{""type"":""Polygon"",""coordinates"":[[[380485.3769,4901988.1141],[380485.7279,4901989.4241],[380486.4279,4901990.6241],[380487.8279,4901989.7741],[380488.3279,4901989.7741],[380550.6299,4901994.8834],[380550.5798,4901998.0784],[380552.3198,4901998.2534],[380552.4898,4901998.2674],[380552.4999,4901995.0633],[380622.2329,4902000.8036],[380718.4361,4902009.4026],[380788.538,4902015.1829],[380791.1381,4902015.2829],[380792.2382,4902015.3829],[380793.0381,4902016.1229],[380794.2081,4902014.3029],[380713.8051,4902007.7827],[380689.4048,4902005.6529],[380639.0532,4902000.8034],[380606.1517,4901997.9538],[380546.0298,4901993.1134],[380524.6285,4901991.1737],[380485.3769,4901988.1141]]]}"
